target_id	width	ff_dim	gate	status	projection_mul_rows	trace_rows_excluding_static_table	activation_table_rows	max_abs_intermediate	fits_signed_m31	statement_commitment
rmsnorm-swiglu-residual-d64-v2	64	256	vector_row_arithmetic_surface	GO	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
rmsnorm-swiglu-residual-d64-v2	64	256	m31_signed_range_fit	GO	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
rmsnorm-swiglu-residual-d64-v2	64	256	statement_public_instance_binding	PARTIAL	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
rmsnorm-swiglu-residual-d64-v2	64	256	weight_commitment_consistency	NO_GO_YET	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
rmsnorm-swiglu-residual-d64-v2	64	256	activation_table_commitment_consistency	NO_GO_YET	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
rmsnorm-swiglu-residual-d64-v2	64	256	native_stwo_exact_d64_proof	NO_GO_YET	49152	49920	2049	849454	true	blake2b-256:cac2f3b12fc41a55213f56ebbc6425dd6572cf47bf80d7b8dbd41e314e636247
