run	family	steps	replay_total_ms	source_chain_commitment_ms	step_proof_commitment_ms	manifest_finalize_ms	equality_check_ms
1	default	1024	4533.645958	0.763209	258.104625	4273.330625	1.446583
1	2x2	1024	1980.993542	0.625709	112.775542	1867.5062090000001	0.085833
1	3x3	1024	2727.481584	0.674875	114.710583	2610.5803330000003	1.5154590000000001
2	default	1024	2545.511709	0.758209	130.925917	2413.51725	0.309125
2	2x2	1024	1897.9829590000002	0.6170420000000001	108.424917	1788.7744169999999	0.166083
2	3x3	1024	1953.5727920000002	0.582708	115.75020799999999	1837.1366249999999	0.103
3	default	1024	2015.8989589999999	0.619208	122.1015	1893.026041	0.151958
3	2x2	1024	1785.3400000000001	0.60125	108.773542	1675.8745	0.090542
3	3x3	1024	1865.5872499999998	0.601833	113.58491699999999	1751.303792	0.096292
4	default	1024	2009.972875	0.607709	124.181292	1885.0996659999998	0.084041
4	2x2	1024	1773.9446249999999	0.601833	108.517167	1664.773708	0.051709000000000005
4	3x3	1024	1855.3495	0.51175	113.999792	1740.754709	0.083083
5	default	1024	1998.000541	0.635	120.53174999999999	1876.745958	0.087584
5	2x2	1024	1779.2864160000001	0.581209	111.295709	1667.355166	0.053917
5	3x3	1024	1850.993416	0.745709	113.869084	1736.326459	0.051917
6	default	1024	2001.3325829999999	0.631375	120.92008299999999	1879.6972919999998	0.08354199999999999
6	2x2	1024	1774.1805419999998	0.626625	108.546459	1664.938042	0.06916599999999999
6	3x3	1024	1857.5039169999998	0.49379100000000004	114.387833	1742.4819579999998	0.14008299999999999
7	default	1024	1971.292541	0.629458	120.970416	1849.610125	0.082416
7	2x2	1024	1794.6600419999997	0.6104580000000001	108.709375	1685.229667	0.11025
7	3x3	1024	2439.180667	0.70975	119.696166	2318.532167	0.242208
8	default	1024	1995.4447499999999	0.691792	120.805833	1873.8513329999998	0.09562499999999999
8	2x2	1024	1786.170916	0.707416	108.656417	1676.7578749999998	0.048959
8	3x3	1024	1862.0678750000002	0.726458	114.171959	1747.100042	0.06899999999999999
9	default	1024	2005.3014170000001	0.846166	123.069583	1881.2885	0.096958
9	2x2	1024	1782.5543750000002	0.829708	109.48504100000001	1672.1889170000002	0.050624999999999996
9	3x3	1024	1865.0678329999998	0.739959	113.79525	1750.477584	0.054792
10	default	1024	2073.211667	0.596333	125.18112500000001	1947.2235420000002	0.210416
10	2x2	1024	1784.277208	0.569959	112.8855	1670.770042	0.051459000000000005
10	3x3	1024	2117.9794589999997	0.585291	118.01620799999999	1999.157083	0.2205
11	default	1024	4916.1195	8.118958000000001	147.946416	4759.618542	0.435292
11	2x2	1024	10936.929417	2.850625	345.333625	10588.102707999999	0.6417919999999999
11	3x3	1024	2541.949958	0.7428340000000001	116.919834	2423.897125	0.38987499999999997
12	default	1024	2039.179292	0.6587500000000001	120.62666700000001	1917.5964159999999	0.296958
12	2x2	1024	3376.5231249999997	0.71	170.58141600000002	3204.930542	0.300875
12	3x3	1024	1900.570209	1.2264579999999998	130.644375	1768.589834	0.109083
