run	family	steps	replay_total_ms	embedded_proof_reverify_ms	source_chain_commitment_ms	step_proof_commitment_ms	manifest_finalize_ms	equality_check_ms
1	default	1024	2357.133542	0.0	0.713583	126.38829100000001	2229.7954999999997	0.23591700000000002
1	2x2	1024	1977.648625	0.0	0.655417	112.411333	1864.466083	0.115458
1	3x3	1024	2128.26025	0.0	0.673667	137.218917	1990.2429160000002	0.12445800000000001
2	default	1024	3319.842791	0.0	3.598042	161.680209	3154.205084	0.358667
2	2x2	1024	10291.774583	0.0	0.712125	117.51620799999999	10171.627917	1.9175419999999999
2	3x3	1024	6795.4746669999995	0.0	1.535291	373.73820800000004	6419.0683340000005	1.131875
3	default	1024	4928.3141669999995	0.0	1.4638749999999998	180.295792	4745.7925000000005	0.761583
3	2x2	1024	2430.631833	0.0	0.759666	121.902125	2307.837875	0.131667
3	3x3	1024	3748.144834	0.0	1.688	140.369459	3605.8112499999997	0.27525
4	default	1024	2263.976417	0.0	0.74675	130.296167	2132.794625	0.13866599999999998
